SIMATIC WinCC flexible Runtime,2008 SP5 Upd2,K01.05.00.02_01.06.00.27,K1.5.0.2,
Automation License Manager Professional 2017 SR2,V6.0 + SP5 + Upd1,06.00.05.01_02.01.00.05,K6.0.5.1,
SIMATIC OPC-XML-Gateway,V13.0,V13.0.0.0_1.1.0.8,V13.0.0.0,
S7-PLCSIM  Professional ,V5.4 + SP8,V05.04.08.01_01.24.00.01,K5.4.8.1,
SIMATIC ProSave,V14.0 SP1,V14.00.01.00_12.01.00.01,V14.00.01.00,
SIMATIC S7-Block Privacy Professional 2017 SR2,V1.0 + SP4,K1.0.4.0_9.1.0.1,K1.0.4.0,
SIMATIC S7-GRAPH Professional 2017 SR2,V5.6 + SP2,K5.6.2.0_3.1.0.1,K5.6.2.0,
S7-PCT Professional 2017 SR2,V3.5 + SP1,K3.5.1.0_1.19.0.1,K3.5.1.0,
SIMATIC S7-SCL Professional 2017 SR2,V5.6 + HF1,K5.6.0.1_2.1.0.1,K5.6.0.1,
STEP 7 Professional 2017 SR2,V5.6 + SP2,K5.6.2.0_9.1.0.1,K5.6.2.0,
SIMATIC S7-Web2PLC Professional 2017 SR2,V1.0 + SP3,K1.0.3.0_8.1.0.1,K1.0.3.0,
SIMATIC WinCC flexible,2008 SP5 Upd2,K01.05.00.02_01.06.00.27,K1.5.0.2,
SIMATIC WinCC flexible,2008 SP5 Upd2,K01.05.00.02_01.06.00.27,K1.5.0.2,
Automation Access Control Component,4.0,K04.00.01.00_01.01.00.01,---,
Automation Software Updater,02.05.0100,V02.05.01.00_01.01.00.25,---,
SIMATIC Colour Editor,5.2.2.0,K5.2.2.0_2.1.0.1,---,
License Logon Interface,4.0,K04.00.03.00_01.01.00.02,---,
SIEMENS OPC,3.9,03.09.07.00_01.05.00.01,---,
OPC-XML-Gateway,13.0.0.0,V13.0.0.0_1.1.0.8,---,
SIMATIC HMI ProSave,14.0.1.0,V14.00.01.00_12.01.00.01,---,
SIMATIC HMI Symbol Library,16.0.0.0,V16.00.00.00_31.02.00.01,---,
SIMATIC HMI Touch Input,14.0.1.0,V14.00.01.00_12.01.00.01,---,
SIMATIC Version View,1.7.12.0,K1.7.12.0_1.1.0.1,---,
SIMATIC Common Services,5.3.15.0,K5.3.15.0_1.1.0.1,---,
SIMATIC Device Drivers WoW,29.2,29.02.05.00_01.01.00.27,---,
SIMATIC Event Database,5.6,05.06.02.00_01.01.00.01,---,
SIMATIC GRAPH-Visualisierung,5.2.4.0,K5.2.4.0_1.1.0.1,---,
SIMATIC GSD CONTROL,3.5.7.0,K3.5.7.0_2.1.0.1,---,
SIMATIC GSD Interpreter,2.8.2.0,K2.8.2.0_1.1.0.1,---,
SIMATIC Interface Editor,5.4.23.0,K5.4.23.0_2.1.0.1,---,
SIMATIC Extended Interfaces,5.4.7.0,K5.4.7.0_2.1.0.1,---,
SIMATIC LanguageSupportTool,5.8.4.0,K5.8.4.0_2.1.0.1,---,
SIMATIC Condition Editor,5.6.2.0,K5.6.2.0_1.1.0.1,---,
SIMATIC NCM,5.6.2.0,K5.6.2.0_9.1.0.1,---,
SIMATIC Process Diagnosis Base,5.6.2.1,K5.6.2.1_1.1.0.1,---,
SIMATIC Process Diagnosis Database,5.6.2.0,K5.6.2.0_1.1.0.1,---,
SIMATIC DIAGNOSTIC REPEATER GUI CTRL,5.2.3.0,K5.2.3.0_1.1.0.1,---,
SIMATIC Grid Control,2.6.0.0,V2.6.0.0_2.1.0.1,---,
SIMATIC S7-Status-OCX,5.3.14.0,K5.3.14.0_1.1.0.1,---,
SIMATIC Technological Parameter Assignment,5.3.12.0,K5.3.12.0_3.1.0.1,---,
SIMATIC X-Ref Control,5.2.10.0,K5.2.10.0_1.1.0.1,---,
SIMATIC STEP 7 Help Viewer,1.0.4.0,K1.0.4.0_1.1.0.1,---,
SIMATIC SCL Compiler,5.6.0.0,V5.6.0.0_11.1.0.1,---,
SeCon,2.6,V02.06.01.00_01.08.00.01,---,
SIMATIC SCS,V07.03.00.00,V07.03.00.00_01.13.00.03,---,
SIMATIC WinCC flexible OCX,1.5.0.2,K1.5.0.2_1.1.0.3,---,
SIMATIC WinCC flexible Simulator,1.8.3.7,K1.8.3.7_1.1.0.3,---,
SIMATIC WinCC flexible Tag Simulator,1.5.0.0,V1.5.0.0_1.11.0.6,---,
